OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.2249999999999999,0.37,18.71679061835844*(x-0.22499999999999998)*(x-0.22499999999999998)*(x-0.22499999999999998)-1.7031581666512872*(x-0.22499999999999998)*(x-0.22499999999999998)-0.7581975007485411*(x-0.22499999999999998)+1.1841055154800415
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.37,0.5125,-2.9393808018384244*(x-0.37)*(x-0.37)*(x-0.37)+0.6535986219094979*(x-0.37)*(x-0.37)-0.07155180082445535*(x-0.37)+1.0954184532165527
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.5125,0.6499999999999999,0.13277458411117915*(x-0.5125)*(x-0.5125)*(x-0.5125)-1.014766064154735*(x-0.5125)*(x-0.5125)-0.06433959780224292*(x-0.5125)+1.0899889469146729
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.6499999999999999,0.77,105.68605351808439*(x-0.6499999999999999)*(x-0.6499999999999999)*(x-0.6499999999999999)-17.62403356241255*(x-0.6499999999999999)*(x-0.6499999999999999)-0.335869457002239*(x-0.6499999999999999)+1.0623019933700562
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.77,0.855,0.9111950818134056*(x-0.77)*(x-0.77)*(x-0.77)+0.9269671178449732*(x-0.77)*(x-0.77)+0.0*(x-0.77)+0.9508370757102966
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.855,0.89,-1415.1896962984285*(x-0.855)*(x-0.855)*(x-0.855)+71.76410814949683*(x-0.855)*(x-0.855)+0.17733456343195095*(x-0.855)+0.9580940008163452
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.89,0.9,170722.7230072017*(x-0.89)*(x-0.89)*(x-0.89)-2560.8408451080277*(x-0.89)*(x-0.89)+0.0*(x-0.89)+0.991535484790802
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.9,0.91,-543271.660804747*(x-0.9)*(x-0.9)*(x-0.9)+8149.0749120712135*(x-0.9)*(x-0.9)+0.0*(x-0.9)+0.9061741232872009
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.91,0.92,412072.5393295277*(x-0.91)*(x-0.91)*(x-0.91)-6181.088089942921*(x-0.91)*(x-0.91)+0.0*(x-0.91)+1.1778099536895752
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.92,0.93,-331041.2168502799*(x-0.92)*(x-0.92)*(x-0.92)+4965.618252754202*(x-0.92)*(x-0.92)+0.0*(x-0.92)+0.9717736840248108
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.93,0.94,410807.60955811804*(x-0.93)*(x-0.93)*(x-0.93)-6162.1141433717075*(x-0.93)*(x-0.93)+0.0*(x-0.93)+1.1372942924499512
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.94,0.95,-7946.472253012424*(x-0.94)*(x-0.94)*(x-0.94)+308.91697491812437*(x-0.94)*(x-0.94)+0.0*(x-0.94)+0.9318904876708984
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.95,0.96,-181180.45815389088*(x-0.95)*(x-0.95)*(x-0.95)+2527.986981185428*(x-0.95)*(x-0.95)+3.7943978224587616*(x-0.95)+0.9548357129096985
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.96,0.97,124246.50792937556*(x-0.96)*(x-0.96)*(x-0.96)-2017.7397136550223*(x-0.96)*(x-0.96)+0.0*(x-0.96)+1.064397931098938
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.97,0.98,7639.318750909063*(x-0.97)*(x-0.97)*(x-0.97)+39.45231345075136*(x-0.97)*(x-0.97)-3.080841894287751*(x-0.97)+0.9868704676628113
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.98,0.9875,-238128.66210936906*(x-0.98)*(x-0.98)*(x-0.98)+2678.947448730424*(x-0.98)*(x-0.98)+0.0*(x-0.98)+0.967646598815918
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.9875,0.9925,838899.6124268115*(x-0.9875)*(x-0.9875)*(x-0.9875)-6291.747093200953*(x-0.9875)*(x-0.9875)+0.0*(x-0.9875)+1.0178768634796143
3,iterativefit,central,2,0.0,2.5,100.0,140.0,0.9925,1.0025,17430.722713470415*(x-0.9924999999999999)*(x-0.9924999999999999)*(x-0.9924999999999999)-2.842170943040401e-14*(x-0.9924999999999999)*(x-0.9924999999999999)+0.0*(x-0.9924999999999999)+0.9654456377029419
3,iterativefit,central,2,0.0,2.5,100.0,140.0,1.0025,1.1,0.9828763604164124
3,iterativefit,central,2,0.0,2.5,140.0,10000.0,-15.0,0.0,1.0416820049285889
3,iterativefit,central,2,0.0,2.5,140.0,10000.0,0.0,0.075,1.7656989097595215
